fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
1123203, M, Szadkowski Kamil, 2284, POL, FM, 20, 1981, 133.39737320836676, 24, 2255.4166666666665 
1123483, M, Liberadzki Slawomir, 2008, POL, NULL, 20, 1986, 137.86988918527314, 47, 1951.404255319149 
1124226, M, Leniart Arkadiusz, 2493, POL, GM, 10, 1991, 134.34236681650916, 30, 2401.133333333333 
1124480, M, Brodowski Piotr, 2455, POL, IM, 10, 1989, 131.96990339360593, 27, 2434.1111111111113 
1124552, M, Warakomski Tomasz, 2544, POL, GM, 10, 1989, 132.07603563286398, 41, 2326.4146341463415 
1124668, M, Tomczak Jacek, 2595, POL, GM, 10, 1990, 134.1786331202801, 78, 2494.269230769231 
1125494, M, Zochowski Kacper, 2256, POL, FM, 20, 1996, 132.99396071162414, 29, 2279.310344827586 
1125826, M, Chomczyk Marek, 2327, POL, NULL, 20, 1998, 137.57182923965826, 26, 2217.5 
1125893, M, Gajek Radoslaw, 2464, AUT, IM, 10, 1998, 136.743293074129, 31, 2316.9032258064517 
1126415, M, Skawinski Arkadiusz, 2348, POL, FM, 10, 1988, 135.20530876634965, 26, 2435.269230769231 
1126431, M, Szwed Jacek, 2379, POL, FM, 10, 1989, 132.19609048193033, 25, 2413.64 
1126822, M, Kanarek Marcel, 2487, POL, GM, 10, 1993, 134.4014884399062, 35, 2361.3142857142857 
1126881, M, Swiercz Dariusz, 2646, USA, GM, 10, 1994, 137.49075398566748, 60, 2559.7166666666667 
1127063, M, Piotrowski Przemyslaw, 2247, POL, FM, 20, 1998, 137.55009195153318, 44, 2186.0227272727275 
1127128, M, Sliwicki Damian, 2158, POL, CM, 20, 1997, 132.52407018779832, 25, 2358.48 
1127373, M, Tomaszewski Kacper, 2313, POL, FM, 20, 1997, 132.10514213753765, 38, 2253.3684210526317 
1127950, M, Budrewicz Krzysztof, 2184, POL, NULL, 20, 1987, 133.5906440113092, 62, 2259.483870967742 
1127985, M, Maciejczak Jakub, 2359, POL, FM, 20, 1988, 133.18647742716297, 29, 2195.896551724138 
1127993, M, Nguyen Piotr, 2431, POL, IM, 10, 1991, 134.10606852680618, 64, 2362.203125 
11300280, M, Khetho Phemelo, 2087, BOT, FM, 20, 1983, 139.44040393561463, 22, 2195.090909090909 
11300507, M, Oatlhotse Providence, 2209, BOT, IM, 20, 1985, 137.98131293734895, 40, 2173.775 
1130170, M, Sieciechowicz Marcin, 2395, POL, IM, 10, 1992, 134.52469034264487, 69, 2223.3333333333335 
1130420, M, Piorun Kacper, 2611, POL, GM, 10, 1991, 131.9608962410508, 127, 2529.015748031496 
1130609, M, Jaroch Karol, 2270, POL, NULL, 20, 1987, 133.59724370079692, 57, 2179.1929824561403 
